"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","mass_list_match_kaniz_list_1","mass_list_match_kps_npl","mass_list_match_kps_pharmaceuticals_oct22","ms2","reference_ion","sample","group_area","peak_rating"
9604,"Docosahexaenoic acid ethyl ester_18.154","Docosahexaenoic acid ethyl ester","C24 H36 O2","Not the top hit","Full match","No results",-0.08,356.2715,357.27878,18.154,7129852.09570642,2,87.5,80.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_b",7129852.09570642,7.8
9604,"Docosahexaenoic acid ethyl ester_18.154","Docosahexaenoic acid ethyl ester","C24 H36 O2","Not the top hit","Full match","No results",-0.08,356.2715,357.27878,18.154,7129852.09570642,2,87.5,80.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_c",6885866.59383498,9.5
9804,"(1R,9S)-5-(1-Benzothiophen-2-yl)-11-(4-fluorobenzoyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_7.28","(1R,9S)-5-(1-Benzothiophen-2-yl)-11-(4-fluorobenzoyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C26 H21 F N2 O2 S","No match","Full match","No results",2.43,444.13186,445.13913,7.28,6879417.00402497,3,74,8.7,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",2821094.96829874,5.9
9804,"(1R,9S)-5-(1-Benzothiophen-2-yl)-11-(4-fluorobenzoyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_7.28","(1R,9S)-5-(1-Benzothiophen-2-yl)-11-(4-fluorobenzoyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C26 H21 F N2 O2 S","No match","Full match","No results",2.43,444.13186,445.13913,7.28,6879417.00402497,3,74,8.7,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_a",3542156.16279707,6.4
9804,"(1R,9S)-5-(1-Benzothiophen-2-yl)-11-(4-fluorobenzoyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_7.28","(1R,9S)-5-(1-Benzothiophen-2-yl)-11-(4-fluorobenzoyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C26 H21 F N2 O2 S","No match","Full match","No results",2.43,444.13186,445.13913,7.28,6879417.00402497,3,74,8.7,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_b",3889956.29159761,8
9843,"6-methyl-2-[5-(2-pyridinyl)-2-thienyl]imidazo[1,2-a]pyridine_13.949","6-methyl-2-[5-(2-pyridinyl)-2-thienyl]imidazo[1,2-a]pyridine","C17 H13 N3 S","No match","Full match","No results",0.1,291.08305,292.09032,13.949,6839469.50727974,5,68.3,8.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_a",425764.624855193,7.4
9843,"6-methyl-2-[5-(2-pyridinyl)-2-thienyl]imidazo[1,2-a]pyridine_13.949","6-methyl-2-[5-(2-pyridinyl)-2-thienyl]imidazo[1,2-a]pyridine","C17 H13 N3 S","No match","Full match","No results",0.1,291.08305,292.09032,13.949,6839469.50727974,5,68.3,8.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_a",5800254.26999322,5.3
9843,"6-methyl-2-[5-(2-pyridinyl)-2-thienyl]imidazo[1,2-a]pyridine_13.949","6-methyl-2-[5-(2-pyridinyl)-2-thienyl]imidazo[1,2-a]pyridine","C17 H13 N3 S","No match","Full match","No results",0.1,291.08305,292.09032,13.949,6839469.50727974,5,68.3,8.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",6000373.87378403,8.6
9843,"6-methyl-2-[5-(2-pyridinyl)-2-thienyl]imidazo[1,2-a]pyridine_13.949","6-methyl-2-[5-(2-pyridinyl)-2-thienyl]imidazo[1,2-a]pyridine","C17 H13 N3 S","No match","Full match","No results",0.1,291.08305,292.09032,13.949,6839469.50727974,5,68.3,8.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_a",6595124.94909241,8.4
9843,"6-methyl-2-[5-(2-pyridinyl)-2-thienyl]imidazo[1,2-a]pyridine_13.949","6-methyl-2-[5-(2-pyridinyl)-2-thienyl]imidazo[1,2-a]pyridine","C17 H13 N3 S","No match","Full match","No results",0.1,291.08305,292.09032,13.949,6839469.50727974,5,68.3,8.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_b",6839469.50727974,8.9
9874,"25T-NBOMe_14.168","25T-NBOMe","C19 H25 N O3 S","No match","Full match","No results",4.84,347.15719,348.16447,14.168,6801003.1258148,1,65.7,43.5,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",6801003.1258148,7.3
