"peak_number","name","formula","calc_mw","m_z","rt_min","mass_list_name","mean_area","sample_location"
5133,"(±)-Abscisic acid","C15 H20 O4",264.13625,265.14353,18.784,"mz_cloud",695332.548509516,"kasane (recreational) surface water"
5133,"(±)-Abscisic acid","C15 H20 O4",264.13625,265.14353,18.784,"mz_cloud",1680513.36107246,"maun beach (after) surface water"
901,"(±)-Abscisic acid","C15 H20 O4",264.13624,265.14351,16.802,"mz_cloud",2024721.86688038,"maun wwtp (main) waste water"
2949,"(±)-Abscisic acid","C15 H20 O4",264.13624,265.14352,17.161,"mz_cloud",1182190.63368051,"glen valley (reclamation) surface water"
901,"(±)-Abscisic acid","C15 H20 O4",264.13624,265.14351,16.802,"mz_cloud",9511399.559901,"glen valley (recreational) surface water"
3386,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",239.18863,240.1959,10.336,"mz_cloud",2070797.51829175,"palapye wwtp (eff) waste water"
3386,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",239.18863,240.1959,10.336,"mz_cloud",2811771.24685787,"palapye wwtp surface water"
2069,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",239.18863,240.19591,10.943,"mz_cloud",4594618.92990489,"maun wwtp (main) waste water"
2069,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",239.18863,240.19591,10.943,"mz_cloud",394775.87713078,"glen valley (recreational) surface water"
1088,"1,2,3,9-tetrahydro-4H-carbazol-4-one oxime","C12 H12 N2 O",200.09498,201.10226,9.393,"mz_cloud",3727821.30923651,"palapye wwtp (eff) waste water"
1088,"1,2,3,9-tetrahydro-4H-carbazol-4-one oxime","C12 H12 N2 O",200.09498,201.10226,9.393,"mz_cloud",4493737.05499169,"palapye wwtp surface water"
1088,"1,2,3,9-tetrahydro-4H-carbazol-4-one oxime","C12 H12 N2 O",200.09498,201.10226,9.393,"mz_cloud",8061909.49394955,"francistown wwtp surface water"
